"","Year","Site","Specific.Type","General.Type","MeanCover","SE","Protection.Code","SSTA_Freq","SSTA_Freq_hist","TSA_Freq","TSA_Freq_hist","TSA_Freq_btw_surveys","Longitude","Latitude","Buffer","HII.Value"
"1",1997,"Bacalar_Chico","Anemone","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,100,265863
"2",1997,"Bacalar_Chico","Anemone","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,75,113113
"3",1997,"Bacalar_Chico","Anemone","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,50,36727
"4",1997,"Bacalar_Chico","Anemone","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,25,5817
"5",1997,"Bacalar_Chico","Anemone","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,10,1304
"6",1997,"Bacalar_Chico","Annelid","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,100,265863
"7",1997,"Bacalar_Chico","Annelid","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,75,113113
"8",1997,"Bacalar_Chico","Annelid","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,50,36727
"9",1997,"Bacalar_Chico","Annelid","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,25,5817
"10",1997,"Bacalar_Chico","Annelid","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,10,1304
"11",1997,"Bacalar_Chico","Ascidian","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,100,265863
"12",1997,"Bacalar_Chico","Ascidian","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,75,113113
"13",1997,"Bacalar_Chico","Ascidian","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,50,36727
"14",1997,"Bacalar_Chico","Ascidian","Invertebrate",0,0,"FP",3,49,2,14,7,-87.82222,18.16282,25,5817
